record_id,image_id,plant_id,bunch_id,planting_date,flowering_date,photo_date,maturity_stage,maturity_score,temperature_c,humidity_pct,rainfall_mm_7d,soil_moisture_pct,farm_location,elevation_m,latitude,longitude,soil_type,irrigation_type,weather_condition,bunch_weight_kg,distance_km,travel_duration_hours,transport_mode,storage_condition,storage_temperature_c,harvest_date,shipping_date,arrival_date,readiness_status
rec_0011,img_0011.jpg,plant_006,bunch_006,2025-01-20,2025-08-31,2025-11-03,developing,2.39,29.8,75.1,50.4,52.7,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,cloudy,20.1,144.0,6.8,truck_ambient,ambient,25.0,2025-11-28,2025-11-28,2025-11-29,not_ready
rec_0012,img_0012.jpg,plant_006,bunch_006,2025-01-20,2025-09-10,2025-11-23,developing,3.05,27.7,73.2,,62.7,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,rainy,26.0,623.0,16.9,reefer_truck,cooled,14.0,2025-12-09,2025-12-09,2025-12-10,approaching
rec_0013,img_0013.jpg,plant_007,bunch_007,2025-01-23,2025-09-10,2025-11-06,immature,1.63,27.6,79.8,66.0,70.4,Banyuwangi,70.0,-8.22,114.37,loam,drip,sunny,23.3,635.0,15.2,truck_ambient,ambient,25.0,2025-12-12,2025-12-12,2025-12-13,not_ready
rec_0014,img_0014.jpg,plant_007,bunch_007,2025-01-23,2025-09-24,2025-12-18,developing,3.71,24.4,83.1,26.4,,Banyuwangi,70.0,-8.22,114.37,loam,drip,cloudy,38.7,463.0,15.1,reefer_truck,cooled,14.0,2025-12-26,2025-12-27,2025-12-28,approaching
rec_0015,img_0015.jpg,plant_008,bunch_008,2025-01-26,2025-09-05,2025-12-05,mature_green,4.27,25.2,60.9,38.7,53.9,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,rainy,27.6,776.0,24.5,truck_ambient,ambient,25.0,2025-12-07,2025-12-07,2025-12-09,ready
rec_0016,img_0016.jpg,plant_008,bunch_008,2025-01-26,2025-09-09,2025-11-15,developing,2.27,25.1,64.6,19.8,61.5,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,sunny,22.3,849.0,26.0,reefer_truck,cooled,14.0,2025-12-15,2025-12-16,2025-12-18,not_ready
rec_0017,img_0017.jpg,plant_009,bunch_009,2025-01-29,2025-08-31,2025-10-25,immature,1.32,25.7,95.0,11.5,70.4,Lampung,120.0,-5.45,105.27,sandy_loam,drip,cloudy,26.8,246.0,9.8,truck_ambient,ambient,25.0,2025-11-30,2025-12-01,2025-12-02,not_ready
rec_0018,img_0018.jpg,plant_009,bunch_009,2025-01-29,2025-09-30,2026-01-07,mature_green,5.17,28.1,74.4,1.4,49.2,Lampung,120.0,-5.45,105.27,sandy_loam,drip,rainy,28.1,154.0,9.2,reefer_truck,cooled,14.0,2026-01-07,2026-01-08,2026-01-09,overdue
rec_0019,img_0019.jpg,plant_010,bunch_010,2025-02-01,2025-09-12,2025-11-17,developing,2.38,27.6,74.7,59.7,66.3,Jember,90.0,-8.17,113.7,loam,rainfed,sunny,33.6,391.0,10.1,truck_ambient,ambient,25.0,2025-12-16,2025-12-16,2025-12-17,not_ready
rec_0020,img_0020.jpg,plant_010,bunch_010,2025-02-01,2025-08-27,2025-11-30,mature_green,4.74,26.8,74.9,68.5,50.9,Jember,90.0,-8.17,113.7,loam,rainfed,cloudy,26.3,898.0,20.1,reefer_truck,cooled,14.0,2025-11-30,2025-12-01,2025-12-02,overdue
rec_0021,img_0021.jpg,plant_011,bunch_011,2025-02-04,2025-10-04,2025-11-27,immature,1.57,30.0,78.7,48.1,41.5,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,rainy,25.7,840.0,19.4,truck_ambient,ambient,25.0,2026-01-01,2026-01-02,2026-01-03,not_ready
rec_0022,img_0022.jpg,plant_011,bunch_011,2025-02-04,2025-08-29,2025-11-27,mature_green,4.14,24.5,78.2,19.9,58.7,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,sunny,24.2,496.0,12.1,reefer_truck,cooled,14.0,2025-12-04,2025-12-05,2025-12-06,ready
rec_0023,img_0023.jpg,plant_012,bunch_012,2025-02-07,2025-09-19,2025-11-12,immature,1.39,27.7,79.4,,62.9,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,cloudy,25.9,85.0,8.3,truck_ambient,ambient,25.0,2025-12-19,2025-12-20,2025-12-21,not_ready
rec_0024,img_0024.jpg,plant_012,bunch_012,2025-02-07,2025-09-17,2025-12-06,developing,3.42,26.0,80.5,62.1,54.7,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,rainy,24.9,459.0,14.1,reefer_truck,cooled,14.0,2025-12-19,2025-12-19,2025-12-20,approaching
rec_0025,img_0025.jpg,plant_013,bunch_013,2025-02-10,2025-09-07,2025-11-14,developing,2.7,29.4,77.2,0.0,47.3,Lampung,120.0,-5.45,105.27,loam,drip,sunny,38.6,300.0,11.6,truck_ambient,ambient,25.0,2025-12-09,2025-12-09,2025-12-10,not_ready
rec_0026,img_0026.jpg,plant_013,bunch_013,2025-02-10,2025-10-08,2025-12-11,immature,2.12,26.5,80.7,75.2,52.1,Lampung,120.0,-5.45,105.27,loam,drip,cloudy,26.5,830.0,22.0,reefer_truck,cooled,14.0,2026-01-09,2026-01-10,2026-01-11,not_ready
rec_0027,img_0027.jpg,plant_014,bunch_014,2025-02-13,2025-09-24,2025-11-21,immature,1.64,26.7,75.9,37.8,,Jember,90.0,-8.17,113.7,clay_loam,rainfed,rainy,27.2,503.0,14.0,truck_ambient,ambient,25.0,2025-12-27,2025-12-28,2025-12-29,not_ready
rec_0028,img_0028.jpg,plant_014,bunch_014,2025-02-13,2025-10-05,2026-01-10,mature_green,4.82,25.8,80.5,29.6,82.9,Jember,90.0,-8.17,113.7,clay_loam,rainfed,sunny,28.0,858.0,23.9,reefer_truck,cooled,14.0,2026-01-10,2026-01-10,2026-01-11,ready
rec_0029,img_0029.jpg,plant_015,bunch_015,2025-02-16,2025-10-14,2025-12-11,immature,1.87,29.6,80.1,44.0,44.6,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,cloudy,28.1,736.0,18.8,truck_ambient,ambient,25.0,2026-01-13,2026-01-14,2026-01-15,not_ready
rec_0030,img_0030.jpg,plant_015,bunch_015,2025-02-16,2025-10-04,2025-12-30,mature_green,4.05,26.6,77.2,25.7,63.5,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,rainy,28.2,763.0,21.0,reefer_truck,cooled,14.0,2026-01-07,2026-01-07,2026-01-08,approaching
rec_0031,img_0031.jpg,plant_016,bunch_016,2025-02-19,2025-09-14,2025-11-12,immature,1.48,23.7,80.6,75.2,46.7,Sukabumi,520.0,-6.92,106.93,loam,rainfed,sunny,25.7,684.0,19.7,truck_ambient,ambient,25.0,2025-12-22,2025-12-22,2025-12-23,not_ready
rec_0032,img_0032.jpg,plant_016,bunch_016,2025-02-19,2025-10-13,2026-01-20,mature_green,5.19,28.4,91.9,61.4,66.4,Sukabumi,520.0,-6.92,106.93,loam,rainfed,cloudy,27.3,481.0,13.4,reefer_truck,cooled,14.0,2026-01-20,2026-01-21,2026-01-22,overdue
rec_0033,img_0033.jpg,plant_017,bunch_017,2025-02-22,2025-09-17,2025-11-21,developing,2.42,29.2,68.6,51.6,60.1,Lampung,120.0,-5.45,105.27,clay_loam,drip,rainy,20.7,601.0,13.6,truck_ambient,ambient,25.0,2025-12-19,2025-12-19,2025-12-20,not_ready
rec_0034,img_0034.jpg,plant_017,bunch_017,2025-02-22,2025-10-13,2025-12-19,developing,2.25,24.9,73.9,,68.4,Lampung,120.0,-5.45,105.27,clay_loam,drip,sunny,24.3,843.0,23.3,reefer_truck,cooled,14.0,2026-01-15,2026-01-16,2026-01-17,not_ready
rec_0035,img_0035.jpg,plant_018,bunch_018,2025-02-25,2025-10-08,2025-12-25,developing,3.24,25.9,87.2,47.2,39.1,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,cloudy,18.7,676.0,16.8,truck_ambient,ambient,25.0,2026-01-10,2026-01-11,2026-01-12,approaching
rec_0036,img_0036.jpg,plant_018,bunch_018,2025-02-25,2025-09-23,2025-12-31,mature_green,5.19,28.4,65.3,68.9,65.7,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,rainy,27.9,835.0,19.5,reefer_truck,cooled,14.0,2025-12-31,2026-01-01,2026-01-02,overdue
rec_0037,img_0037.jpg,plant_019,bunch_019,2025-02-28,2025-10-23,2026-01-15,mature_green,3.89,27.7,71.1,28.3,60.5,Banyuwangi,70.0,-8.22,114.37,loam,drip,sunny,32.9,150.0,7.0,truck_ambient,ambient,25.0,2026-01-23,2026-01-24,2026-01-25,approaching
rec_0038,img_0038.jpg,plant_019,bunch_019,2025-02-28,2025-09-28,2025-12-21,developing,3.72,25.6,79.6,53.1,62.1,Banyuwangi,70.0,-8.22,114.37,loam,drip,cloudy,36.3,84.0,4.1,reefer_truck,cooled,14.0,2026-01-03,2026-01-04,2026-01-05,approaching
rec_0039,img_0039.jpg,plant_020,bunch_020,2025-03-03,2025-10-29,2026-01-16,developing,3.11,23.2,90.8,20.6,63.1,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,rainy,23.8,672.0,18.7,truck_ambient,ambient,25.0,2026-02-05,2026-02-06,2026-02-07,not_ready
rec_0040,img_0040.jpg,plant_020,bunch_020,2025-03-03,2025-09-24,2025-12-07,developing,3.1,28.2,80.2,0.0,,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,sunny,27.6,641.0,14.1,reefer_truck,cooled,14.0,2025-12-23,2025-12-23,2025-12-24,approaching
rec_0041,img_0041.jpg,plant_021,bunch_021,2025-03-06,2025-10-21,2025-12-17,immature,1.64,27.7,82.2,14.4,60.2,Lampung,120.0,-5.45,105.27,sandy_loam,drip,cloudy,25.9,742.0,18.4,truck_ambient,ambient,25.0,2026-01-20,2026-01-20,2026-01-21,not_ready
rec_0042,img_0042.jpg,plant_021,bunch_021,2025-03-06,2025-09-27,2025-11-28,immature,2.15,28.9,62.1,0.0,47.2,Lampung,120.0,-5.45,105.27,sandy_loam,drip,rainy,27.8,280.0,11.7,reefer_truck,cooled,14.0,2025-12-21,2025-12-21,2025-12-22,not_ready
rec_0043,img_0043.jpg,plant_022,bunch_022,2025-03-09,2025-11-02,2026-01-22,mature_green,3.81,29.9,77.4,65.8,62.9,Jember,90.0,-8.17,113.7,loam,rainfed,sunny,25.6,448.0,11.3,truck_ambient,ambient,25.0,2026-01-29,2026-01-29,2026-01-30,ready
rec_0044,img_0044.jpg,plant_022,bunch_022,2025-03-09,2025-10-03,2026-01-01,mature_green,4.62,30.6,66.9,41.8,51.6,Jember,90.0,-8.17,113.7,loam,rainfed,cloudy,24.6,259.0,7.7,reefer_truck,cooled,14.0,2026-01-01,2026-01-02,2026-01-03,overdue
rec_0045,img_0045.jpg,plant_023,bunch_023,2025-03-12,2025-11-02,2026-01-02,immature,1.76,25.1,72.8,,60.1,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,rainy,21.1,446.0,11.3,truck_ambient,ambient,25.0,2026-02-05,2026-02-05,2026-02-06,not_ready
rec_0046,img_0046.jpg,plant_023,bunch_023,2025-03-12,2025-10-24,2026-01-21,mature_green,4.21,26.5,86.9,41.6,60.7,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,sunny,27.6,829.0,21.6,reefer_truck,cooled,14.0,2026-01-26,2026-01-26,2026-01-27,ready
rec_0047,img_0047.jpg,plant_024,bunch_024,2025-03-15,2025-10-09,2025-12-14,developing,2.21,25.5,80.7,31.4,65.1,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,cloudy,25.2,768.0,18.5,truck_ambient,ambient,25.0,2026-01-09,2026-01-09,2026-01-10,not_ready
rec_0048,img_0048.jpg,plant_024,bunch_024,2025-03-15,2025-10-17,2026-01-03,developing,3.66,31.1,86.8,7.9,65.5,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,rainy,25.6,528.0,13.6,reefer_truck,cooled,14.0,2026-01-11,2026-01-12,2026-01-13,approaching
rec_0049,img_0049.jpg,plant_025,bunch_025,2025-03-18,2025-10-22,2026-01-05,developing,2.92,24.9,78.1,96.9,64.2,Lampung,120.0,-5.45,105.27,loam,drip,sunny,26.3,537.0,14.0,truck_ambient,ambient,25.0,2026-01-29,2026-01-30,2026-01-31,not_ready
rec_0050,img_0050.jpg,plant_025,bunch_025,2025-03-18,2025-10-19,2026-01-20,mature_green,4.67,28.1,71.2,48.6,72.9,Lampung,120.0,-5.45,105.27,loam,drip,cloudy,30.7,143.0,5.9,reefer_truck,cooled,14.0,2026-01-20,2026-01-20,2026-01-21,overdue
rec_0051,img_0051.jpg,plant_026,bunch_026,2025-03-21,2025-10-14,2026-01-05,developing,3.71,26.5,62.1,0.0,75.6,Jember,90.0,-8.17,113.7,clay_loam,rainfed,rainy,24.8,276.0,10.1,truck_ambient,ambient,25.0,2026-01-16,2026-01-17,2026-01-18,approaching
rec_0052,img_0052.jpg,plant_026,bunch_026,2025-03-21,2025-10-15,2026-01-24,mature_green,5.34,28.1,73.5,43.6,46.4,Jember,90.0,-8.17,113.7,clay_loam,rainfed,sunny,28.4,839.0,22.9,reefer_truck,cooled,14.0,2026-01-24,2026-01-25,2026-01-26,overdue
rec_0053,img_0053.jpg,plant_027,bunch_027,2025-03-24,2025-11-02,2026-01-01,immature,1.74,25.8,85.2,72.7,,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,cloudy,25.2,737.0,20.9,truck_ambient,ambient,25.0,2026-02-03,2026-02-04,2026-02-05,not_ready
rec_0054,img_0054.jpg,plant_027,bunch_027,2025-03-24,2025-10-28,2026-01-01,developing,2.29,27.5,80.1,71.1,58.4,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,rainy,29.5,280.0,9.7,reefer_truck,cooled,14.0,2026-01-27,2026-01-28,2026-01-29,not_ready
rec_0055,img_0055.jpg,plant_028,bunch_028,2025-03-27,2025-10-25,2026-01-06,developing,3.12,29.5,58.8,12.3,45.1,Sukabumi,520.0,-6.92,106.93,loam,rainfed,sunny,26.4,780.0,20.2,truck_ambient,ambient,25.0,2026-01-20,2026-01-21,2026-01-22,approaching
rec_0056,img_0056.jpg,plant_028,bunch_028,2025-03-27,2025-11-11,2026-01-14,immature,2.02,25.2,83.7,,65.9,Sukabumi,520.0,-6.92,106.93,loam,rainfed,cloudy,25.8,515.0,13.8,reefer_truck,cooled,14.0,2026-02-15,2026-02-16,2026-02-17,not_ready
rec_0057,img_0057.jpg,plant_029,bunch_029,2025-03-30,2025-11-02,2026-01-18,developing,3.1,25.1,68.0,9.8,61.3,Lampung,120.0,-5.45,105.27,clay_loam,drip,rainy,30.0,595.0,17.0,truck_ambient,ambient,25.0,2026-02-04,2026-02-05,2026-02-06,approaching
rec_0058,img_0058.jpg,plant_029,bunch_029,2025-03-30,2025-10-31,2026-01-01,immature,1.91,25.9,82.4,36.7,47.5,Lampung,120.0,-5.45,105.27,clay_loam,drip,sunny,21.2,420.0,13.1,reefer_truck,cooled,14.0,2026-02-01,2026-02-01,2026-02-02,not_ready
rec_0059,img_0059.jpg,plant_030,bunch_030,2025-04-02,2025-11-25,2026-02-11,developing,3.55,29.7,76.0,41.1,37.9,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,cloudy,35.0,591.0,13.1,truck_ambient,ambient,25.0,2026-02-20,2026-02-21,2026-02-22,approaching
rec_0060,img_0060.jpg,plant_030,bunch_030,2025-04-02,2025-11-25,2026-02-12,developing,3.3,25.5,79.9,72.3,49.8,Jember,90.0,-8.17,113.7,sandy_loam,rainfed,rainy,20.4,753.0,17.7,reefer_truck,cooled,14.0,2026-02-28,2026-03-01,2026-03-02,approaching
rec_0061,img_0061.jpg,plant_031,bunch_031,2025-04-05,2025-11-07,2026-01-01,immature,1.36,26.4,73.8,52.3,64.4,Banyuwangi,70.0,-8.22,114.37,loam,drip,sunny,24.5,278.0,7.5,truck_ambient,ambient,25.0,2026-02-05,2026-02-05,2026-02-06,not_ready
rec_0062,img_0062.jpg,plant_031,bunch_031,2025-04-05,2025-11-17,2026-02-19,mature_green,4.77,28.3,84.1,43.2,45.1,Banyuwangi,70.0,-8.22,114.37,loam,drip,cloudy,28.8,382.0,12.8,reefer_truck,cooled,14.0,2026-02-19,2026-02-19,2026-02-20,overdue
rec_0063,img_0063.jpg,plant_032,bunch_032,2025-04-08,2025-10-30,2026-01-26,mature_green,3.98,24.6,83.7,38.0,55.9,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,rainy,24.5,271.0,11.0,truck_ambient,ambient,25.0,2026-02-05,2026-02-06,2026-02-07,approaching
rec_0064,img_0064.jpg,plant_032,bunch_032,2025-04-08,2025-11-20,2026-01-22,immature,2.01,26.1,74.7,66.1,51.6,Sukabumi,520.0,-6.92,106.93,clay_loam,rainfed,sunny,19.3,509.0,12.6,reefer_truck,cooled,14.0,2026-02-17,2026-02-17,2026-02-18,not_ready
rec_0065,img_0065.jpg,plant_033,bunch_033,2025-04-11,2025-11-19,2026-01-27,developing,2.55,26.6,76.5,4.2,67.8,Lampung,120.0,-5.45,105.27,sandy_loam,drip,cloudy,27.7,448.0,15.2,truck_ambient,ambient,25.0,2026-02-20,2026-02-21,2026-02-22,not_ready
rec_0066,img_0066.jpg,plant_033,bunch_033,2025-04-11,2025-12-03,2026-02-19,developing,3.33,26.9,82.9,0.0,,Lampung,120.0,-5.45,105.27,sandy_loam,drip,rainy,22.6,259.0,9.7,reefer_truck,cooled,14.0,2026-03-04,2026-03-04,2026-03-05,approaching
rec_0067,img_0067.jpg,plant_034,bunch_034,2025-04-14,2025-11-19,2026-01-20,immature,2.07,27.8,71.0,,74.1,Jember,90.0,-8.17,113.7,loam,rainfed,sunny,25.6,807.0,19.6,truck_ambient,ambient,25.0,2026-02-18,2026-02-19,2026-02-20,not_ready
rec_0068,img_0068.jpg,plant_034,bunch_034,2025-04-14,2025-11-18,2026-02-23,mature_green,4.66,23.8,65.1,44.1,56.8,Jember,90.0,-8.17,113.7,loam,rainfed,cloudy,21.7,256.0,8.4,reefer_truck,cooled,14.0,2026-02-23,2026-02-24,2026-02-25,overdue
rec_0069,img_0069.jpg,plant_035,bunch_035,2025-04-17,2025-11-19,2026-01-24,developing,2.41,27.9,96.0,42.5,65.9,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,rainy,24.9,600.0,19.1,truck_ambient,ambient,25.0,2026-02-18,2026-02-18,2026-02-19,not_ready
rec_0070,img_0070.jpg,plant_035,bunch_035,2025-04-17,2025-11-18,2026-02-20,mature_green,4.6,26.2,74.5,20.0,69.9,Banyuwangi,70.0,-8.22,114.37,clay_loam,drip,sunny,26.0,430.0,12.1,reefer_truck,cooled,14.0,2026-02-22,2026-02-23,2026-02-24,ready
rec_0071,img_0071.jpg,plant_036,bunch_036,2025-04-20,2025-11-16,2026-01-10,immature,1.07,22.7,71.4,12.4,38.8,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,cloudy,26.0,887.0,21.2,truck_ambient,ambient,25.0,2026-02-18,2026-02-18,2026-02-19,not_ready
rec_0072,img_0072.jpg,plant_036,bunch_036,2025-04-20,2025-12-15,2026-02-19,developing,2.34,27.1,86.4,7.6,52.9,Sukabumi,520.0,-6.92,106.93,sandy_loam,rainfed,rainy,29.8,482.0,11.9,reefer_truck,cooled,14.0,2026-03-18,2026-03-18,2026-03-19,not_ready
rec_0073,img_0073.jpg,plant_037,bunch_037,2025-04-23,2025-11-30,2026-02-26,mature_green,4.18,27.2,76.3,1.6,46.4,Lampung,120.0,-5.45,105.27,loam,drip,sunny,31.5,531.0,12.9,truck_ambient,ambient,25.0,2026-03-03,2026-03-04,2026-03-05,ready
rec_0074,img_0074.jpg,plant_037,bunch_037,2025-04-23,2025-12-07,2026-02-16,developing,2.53,24.2,70.6,68.5,64.8,Lampung,120.0,-5.45,105.27,loam,drip,cloudy,27.2,475.0,15.2,reefer_truck,cooled,14.0,2026-03-15,2026-03-15,2026-03-16,not_ready
rec_0075,img_0075.jpg,plant_038,bunch_038,2025-04-26,2025-12-11,2026-02-04,immature,1.4,26.8,80.2,36.0,69.8,Jember,90.0,-8.17,113.7,clay_loam,rainfed,rainy,31.8,205.0,7.2,truck_ambient,ambient,25.0,2026-03-15,2026-03-15,2026-03-16,not_ready
rec_0076,img_0076.jpg,plant_038,bunch_038,2025-04-26,2025-11-26,2026-02-19,developing,3.64,23.5,78.8,55.3,80.0,Jember,90.0,-8.17,113.7,clay_loam,rainfed,sunny,25.8,815.0,17.9,reefer_truck,cooled,14.0,2026-03-04,2026-03-05,2026-03-06,approaching
rec_0077,img_0077.jpg,plant_039,bunch_039,2025-04-29,2025-12-12,2026-02-22,developing,3.18,31.3,92.3,60.4,52.8,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,cloudy,29.5,529.0,13.3,truck_ambient,ambient,25.0,2026-03-12,2026-03-13,2026-03-14,approaching
rec_0078,img_0078.jpg,plant_039,bunch_039,2025-04-29,2025-12-15,2026-02-27,developing,3.12,28.5,80.7,,62.8,Banyuwangi,70.0,-8.22,114.37,sandy_loam,drip,rainy,32.4,620.0,17.3,reefer_truck,cooled,14.0,2026-03-14,2026-03-15,2026-03-16,approaching
rec_0079,img_0079.jpg,plant_040,bunch_040,2025-05-02,2025-11-27,2026-02-24,mature_green,4.48,29.9,78.1,37.1,,Sukabumi,520.0,-6.92,106.93,loam,rainfed,sunny,26.7,731.0,14.7,truck_ambient,ambient,25.0,2026-02-25,2026-02-26,2026-02-27,ready
rec_0080,img_0080.jpg,plant_040,bunch_040,2025-05-02,2025-12-15,2026-03-26,mature_green,5.41,29.0,78.1,38.2,62.4,Sukabumi,520.0,-6.92,106.93,loam,rainfed,cloudy,22.0,215.0,6.9,reefer_truck,cooled,14.0,2026-03-26,2026-03-27,2026-03-28,overdue
